Function ID	Function Description
15321	voltage-gated potassium channel activity [GO:0005249]
15322	mitochondrial promoter sequence-specific DNA binding [GO:0001018]
15323	sulfate binding [GO:0043199]
15324	nerve growth factor receptor activity [GO:0010465]
15325	neurotensin receptor activity, non-G protein-coupled [GO:0030379]
15326	retromer complex binding [GO:1905394]
15327	adenyl-nucleotide exchange factor activity [GO:0000774]
15328	lysine N-methyltransferase activity [GO:0016278]
15329	transcription termination site sequence-specific DNA binding [GO:0001147]
15330	histone pre-mRNA DCP binding [GO:0071208]
15331	histone pre-mRNA stem-loop binding [GO:0071207]
15332	superoxide dismutase activity [GO:0004784]
15333	pre-mRNA 3'-splice site binding [GO:0030628]
15334	second spliceosomal transesterification activity [GO:0000386]
15335	RNA transmembrane transporter activity [GO:0051033]
15336	AP-2 adaptor complex binding [GO:0035612]
15337	nucleic acid transmembrane transporter activity [GO:0051032]
15338	catalytic activity [GO:0003824]
15339	L-cystine transmembrane transporter activity [GO:0015184]
15340	GABA receptor binding [GO:0050811]
15341	acetylcholine receptor activator activity [GO:0030549]
15342	acetylcholine receptor inhibitor activity [GO:0030550]
15343	lipid transporter activity [GO:0005319]
15344	D-serine transmembrane transporter activity [GO:0042945]
15345	serine transmembrane transporter activity [GO:0022889]
15346	prolactin receptor binding [GO:0005148]
15347	sequence-specific mRNA binding [GO:1990825]
15348	(alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity [GO:0047290]
15349	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity [GO:0001665]
15350	mRNA cap binding complex binding [GO:0140262]
15351	nucleosomal histone binding [GO:0031493]
15352	1,4-alpha-oligoglucan phosphorylase activity [GO:0004645]
15353	pyrimidine-nucleoside phosphorylase activity [GO:0016154]
15354	prenyltransferase activity [GO:0004659]
15355	deubiquitinase activator activity [GO:0035800]
15356	polysaccharide binding [GO:0030247]
15357	reelin receptor activity [GO:0038025]
15358	very-low-density lipoprotein particle binding [GO:0034189]
15359	very-low-density lipoprotein particle receptor activity [GO:0030229]
15360	tRNA (uracil) methyltransferase activity [GO:0016300]
15361	importin-alpha family protein binding [GO:0061676]
15362	protein kinase activator activity [GO:0030295]
15363	TRAIL binding [GO:0045569]
15364	troponin T binding [GO:0031014]
15365	tryptophan 5-monooxygenase activity [GO:0004510]
15366	Hsp90 protein binding [GO:0051879]
15367	oxidative phosphorylation uncoupler activity [GO:0017077]
15368	SUMO binding [GO:0032183]
15369	ubiquitin-like protein-specific protease activity [GO:0019783]
15370	wide pore channel activity [GO:0022829]
15371	myosin light chain binding [GO:0032027]
15372	alpha-ketoglutarate transmembrane transporter activity [GO:0015139]
15373	Rho-dependent protein serine/threonine kinase activity [GO:0072518]
15374	U2 snRNA binding [GO:0030620]
15375	melatonin receptor activity [GO:0008502]
15376	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway [GO:1904929]
15377	Wnt-activated receptor activity [GO:0042813]
15378	U3 snoRNA binding [GO:0034511]
15379	urotensin II receptor activity [GO:0001604]
15380	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity [GO:0051997]
15381	carboxy-lyase activity [GO:0016831]
15382	primary amine oxidase activity [GO:0008131]
15383	histone dopaminyltransferase activity [GO:0120297]
15384	histone serotonyltransferase activity [GO:0120295]
15385	peptide histaminyltransferase activity [GO:0120299]
15386	peptide noradrenalinyltransferase activity [GO:0120298]
15387	protein-glutamine glutaminase activity [GO:0050568]
15388	methylcytosine dioxygenase activity [GO:0070579]
15389	very-long-chain enoyl-CoA reductase activity [GO:0102758]
15390	very-long-chain-acyl-CoA dehydrogenase activity [GO:0017099]
15391	ankyrin repeat binding [GO:0071532]
15392	phosphatidylinositol transfer activity [GO:0008526]
15393	osmosensor activity [GO:0005034]
15394	stretch-activated, cation-selective, calcium channel activity [GO:0015275]
15395	protein-glycine ligase activity [GO:0070735]
15396	protein-glycine ligase activity, initiating [GO:0070736]
15397	immunoglobulin binding [GO:0019865]
15398	vascular endothelial growth factor receptor 1 binding [GO:0043183]
15399	vascular endothelial growth factor receptor binding [GO:0005172]
15400	5'-flap endonuclease activity [GO:0017108]
15401	C-C chemokine binding [GO:0019957]
15402	C-C chemokine receptor activity [GO:0016493]
15403	chemokine receptor activity [GO:0004950]
15404	co-receptor binding [GO:0039706]
15405	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]
15406	chemoattractant activity involved in axon guidance [GO:1902379]
15407	receptor tyrosine kinase-like orphan receptor binding [GO:0005115]
15408	transcription elongation regulator activity [GO:0003711]
15409	intraciliary transport particle A binding [GO:0120160]
15410	azole transmembrane transporter activity [GO:1901474]
15411	cytidine transmembrane transporter activity [GO:0015212]
15412	nucleoside transmembrane transporter activity [GO:0005337]
15413	nucleoside:sodium symporter activity [GO:0005415]
15414	purine nucleobase transmembrane transporter activity [GO:0005345]
15415	pyrimidine- and adenine-specific:sodium symporter activity [GO:0015389]
15416	uridine transmembrane transporter activity [GO:0015213]
15417	proteoglycan binding [GO:0043394]
15418	tRNA (cytosine-5-)-methyltransferase activity [GO:0016428]
15419	Toll-like receptor 2 binding [GO:0035663]
15420	Toll-like receptor 4 binding [GO:0035662]
15421	tRNA 2'-phosphotransferase activity [GO:0000215]
15422	virion binding [GO:0046790]
15423	GARP complex binding [GO:0062069]
15424	proton transmembrane transporter activity [GO:0015078]
15425	acetyltransferase activator activity [GO:0010698]
15426	dynorphin receptor activity [GO:0038048]
15427	receptor serine/threonine kinase binding [GO:0033612]
15428	ligand-gated ion channel activity [GO:0015276]
15429	1-phosphatidylinositol-3-kinase activity [GO:0016303]
15430	phosphatidylinositol kinase activity [GO:0052742]
15431	purine ribonucleoside triphosphate binding [GO:0035639]
15432	cysteine-tRNA ligase activity [GO:0004817]
15433	rDNA binding [GO:0000182]
15434	intraciliary transport particle B binding [GO:0120170]
15435	androgen binding [GO:0005497]
15436	benzodiazepine receptor activity [GO:0008503]
15437	pyrimidine ribonucleotide binding [GO:0032557]
15438	UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]
15439	malate transmembrane transporter activity [GO:0015140]
15440	oxaloacetate transmembrane transporter activity [GO:0015131]
15441	thiosulfate transmembrane transporter activity [GO:0015117]
15442	drug binding [GO:0008144]
15443	monophenol monooxygenase activity [GO:0004503]
15444	fatty acid binding [GO:0005504]
15445	neuropeptide Y receptor binding [GO:0031841]
15446	amylin receptor activity [GO:0097643]
15447	calcitonin gene-related peptide binding [GO:1990407]
15448	DNA strand exchange activity [GO:0000150]
15449	NF-kappaB-inducing kinase activity [GO:0004704]
15450	potassium channel activity [GO:0005267]
15451	potassium ion leak channel activity [GO:0022841]
15452	laminin binding [GO:0043236]
15453	protein-glutamic acid ligase activity [GO:0070739]
15454	glutathione oxidoreductase activity [GO:0097573]
15455	microtubule plus-end binding [GO:0051010]
15456	collagen V binding [GO:0070052]
15457	fibrinogen binding [GO:0070051]
15458	fibroblast growth factor binding [GO:0017134]
15459	fibronectin binding [GO:0001968]
15460	vasoactive intestinal polypeptide receptor activity [GO:0004999]
15461	queuine tRNA-ribosyltransferase activity [GO:0008479]
15462	adenosine deaminase activity [GO:0004000]
15463	2-iminobutanoate deaminase activity [GO:0120242]
15464	2-iminopropanoate deaminase activity [GO:0120243]
15465	deaminase activity [GO:0019239]
15466	endoribonuclease activity, producing 3'-phosphomonoesters [GO:0016892]
15467	long-chain fatty acid binding [GO:0036041]
15468	riboflavin kinase activity [GO:0008531]
15469	RNA polymerase I activity [GO:0001054]
15470	ribonucleoside binding [GO:0032549]
15471	protein kinase B binding [GO:0043422]
15472	interleukin-1 binding [GO:0019966]
15473	NACHT domain binding [GO:0032089]
15474	chloride channel regulator activity [GO:0017081]
15475	excitatory extracellular ligand-gated ion channel activity [GO:0005231]
15476	extracellular ligand-gated ion channel activity [GO:0005230]
15477	temperature-gated ion channel activity [GO:0097603]
15478	corticotropin-releasing hormone receptor 1 binding [GO:0051430]
15479	K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]
15480	nucleotidyltransferase activity [GO:0016779]
15481	RNA uridylyltransferase activity [GO:0050265]
15482	rRNA primary transcript binding [GO:0042134]
15483	RNA polymerase III activity [GO:0001056]
15484	phosphatase inhibitor activity [GO:0019212]
15485	LRR domain binding [GO:0030275]
15486	growth hormone-releasing hormone receptor activity [GO:0016520]
15487	thromboxane A2 receptor activity [GO:0004961]
15488	RNA adenylyltransferase activity [GO:1990817]
15489	oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]
15490	calcium ion transmembrane transporter activity [GO:0015085]
15491	manganese ion transmembrane transporter activity [GO:0005384]
15492	metal ion transmembrane transporter activity [GO:0046873]
15493	protein-disulfide reductase (glutathione) activity [GO:0019153]
15494	DNA end binding [GO:0045027]
15495	alpha-actinin binding [GO:0051393]
15496	double-stranded methylated DNA binding [GO:0010385]
15497	RNA polymerase core enzyme binding [GO:0043175]
15498	ribonuclease A activity [GO:0004522]
15499	protein kinase A catalytic subunit binding [GO:0034236]
15500	synaptic receptor adaptor activity [GO:0030160]
15501	mediator complex binding [GO:0036033]
15502	7S RNA binding [GO:0008312]
15503	signal recognition particle binding [GO:0005047]
15504	protein serine/threonine kinase inhibitor activity [GO:0030291]
15505	stem cell factor receptor binding [GO:0005173]
15506	endoplasmic reticulum signal peptide binding [GO:0030942]
15507	protein transporter activity [GO:0140318]
15508	RNA polymerase II general transcription initiation factor binding [GO:0001091]
15509	RNA polymerase III general transcription initiation factor activity [GO:0000995]
15510	TFIIB-class transcription factor binding [GO:0001093]
15511	thrombopoietin receptor activity [GO:0038164]
15512	thiamine binding [GO:0030975]
15513	thiamine diphosphokinase activity [GO:0004788]
15514	actinin binding [GO:0042805]
15515	intracellular calcium activated chloride channel activity [GO:0005229]
15516	volume-sensitive chloride channel activity [GO:0072320]
15517	COPII receptor activity [GO:0097020]
15518	calcitriol binding [GO:1902098]
15519	lithocholic acid binding [GO:1902121]
15520	lithocholic acid receptor activity [GO:0038186]
15521	retinoid X receptor binding [GO:0046965]
15522	5'-3' exonuclease activity [GO:0008409]
15523	5'-3' exoribonuclease activity [GO:0004534]
15524	proline-rich region binding [GO:0070064]
15525	5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]
15526	diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]
15527	inositol heptakisphosphate kinase activity [GO:0000829]
15528	inositol hexakisphosphate 1-kinase activity [GO:0052723]
15529	inositol hexakisphosphate 3-kinase activity [GO:0052724]
15530	inositol hexakisphosphate 5-kinase activity [GO:0000832]
15531	inositol hexakisphosphate kinase activity [GO:0000828]
15532	inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]
15533	peptide-glutamate-N-acetyltransferase activity [GO:1990190]
15534	peptide-serine-N-acetyltransferase activity [GO:1990189]
15535	S-methyl-5-thioribose-1-phosphate isomerase activity [GO:0046523]
15536	aspartate N-acetyltransferase activity [GO:0017188]
15537	NADH dehydrogenase (ubiquinone) activity [GO:0008137]
15538	scavenger receptor binding [GO:0005124]
15539	ceramide binding [GO:0097001]
15540	ceramide transfer activity [GO:0120017]
15541	cerebroside transfer activity [GO:0140340]
15542	diacylglyceride transfer activity [GO:0140337]
15543	high-density lipoprotein particle binding [GO:0008035]
15544	phosphatidic acid transfer activity [GO:1990050]
15545	phosphatidylcholine transfer activity [GO:0120019]
15546	phosphatidylcholine transporter activity [GO:0008525]
15547	phosphatidylethanolamine binding [GO:0008429]
15548	phosphatidylethanolamine transfer activity [GO:1904121]
15549	phosphatidylglycerol binding [GO:1901611]
15550	phosphatidylglycerol transfer activity [GO:0140339]
15551	phospholipid transfer activity [GO:0120014]
15552	sphingomyelin transfer activity [GO:0140338]
15553	nucleoside diphosphate kinase activity [GO:0004550]
15554	glial cell-derived neurotrophic factor receptor binding [GO:0030116]
15555	5'-nucleotidase activity [GO:0008253]
15556	nucleotidase activity [GO:0008252]
15557	signaling receptor regulator activity [GO:0030545]
15558	dihydrolipoyllysine-residue succinyltransferase activity [GO:0004149]
15559	pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]
15560	pyruvate dehydrogenase (NAD+) activity [GO:0034604]
15561	oxoglutarate dehydrogenase (NAD+) activity [GO:0034602]
15562	oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]
15563	thiamine pyrophosphate binding [GO:0030976]
15564	carnitine O-octanoyltransferase activity [GO:0008458]
15565	collagen receptor activity [GO:0038064]
15566	arachidonic acid binding [GO:0050544]
15567	prostaglandin receptor activity [GO:0004955]
15568	lipopeptide binding [GO:0071723]
15569	NAD(P)+ nucleosidase activity [GO:0050135]
15570	NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]
15571	purine ribonucleotide binding [GO:0032555]
15572	UDP-glycosyltransferase activity [GO:0008194]
15573	uridylyltransferase activity [GO:0070569]
15574	adrenomedullin binding [GO:1990409]
15575	adrenomedullin receptor activity [GO:0001605]
15576	glutaminyl-peptide cyclotransferase activity [GO:0016603]
15577	metalloexopeptidase activity [GO:0008235]
15578	U12 snRNA binding [GO:0030626]
15579	proline-tRNA ligase activity [GO:0004827]
15580	phosphatidate cytidylyltransferase activity [GO:0004605]
15581	collagen fibril binding [GO:0098633]
15582	rRNA (adenine) methyltransferase activity [GO:0016433]
15583	MAP kinase kinase activity [GO:0004708]
15584	thiol oxidase activity [GO:0016972]
15585	iron chaperone activity [GO:0034986]
15586	thiosulfate-thiol sulfurtransferase activity [GO:0050337]
15587	ISG15-specific protease activity [GO:0019785]
15588	NEDD8 activating enzyme activity [GO:0019781]
15589	N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]
