	ID_Geneontology_molecularfunction__	Gene ontology (molecular function)
4514	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; chromatin binding [GO:0003682]; DNA/RNA helicase activity [GO:0033677]; DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; exonuclease activity [GO:0004527]; nuclease activity [GO:0004518]; poly(A) binding [GO:0008143]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; transcription coregulator activity [GO:0003712]	4514
4515	CCR2 chemokine receptor binding [GO:0031727]; heparin binding [GO:0008201]; lipopolysaccharide binding [GO:0001530]	4515
4516	metal ion binding [GO:0046872]; phospholipase activity [GO:0004620]	4516
4517	metal ion binding [GO:0046872]; phospholipase activity [GO:0004620]; triglyceride lipase activity [GO:0004806]	4517
4518	amyloid-beta binding [GO:0001540]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; endopeptidase inhibitor activity [GO:0004866]; identical protein binding [GO:0042802]; peptidase inhibitor activity [GO:0030414]; protease binding [GO:0002020]	4518
4519	dynein heavy chain binding [GO:0045504]; dynein light chain binding [GO:0045503]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; motor activity [GO:0003774]; spectrin binding [GO:0030507]	4519
4520	17-beta-hydroxysteroid dehydrogenase (NAD+) activity [GO:0044594]; estradiol 17-beta-dehydrogenase activity [GO:0004303]; identical protein binding [GO:0042802]; testosterone 17-beta-dehydrogenase (NADP+) activity [GO:0047045]	4520
4521	17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity [GO:0047006]; 17-beta-hydroxysteroid dehydrogenase (NAD+) activity [GO:0044594]; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity [GO:0072582]; estradiol 17-beta-dehydrogenase activity [GO:0004303]; testosterone dehydrogenase (NAD+) activity [GO:0047035]	4521
4522	glial cell-derived neurotrophic factor receptor activity [GO:0016167]; signaling receptor activity [GO:0038023]	4522
4523	globoside alpha-N-acetylgalactosaminyltransferase activity [GO:0047277]; glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]	4523
4524	dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]	4524
4525	actin binding [GO:0003779]; ATP binding [GO:0005524]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]; protein self-association [GO:0043621]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein tyrosine kinase activity [GO:0004713]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; transcription coactivator activity [GO:0003713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; tubulin binding [GO:0015631]	4525
4526	dolichyldiphosphatase activity [GO:0047874]	4526
4527	dihydrofolate reductase activity [GO:0004146]; folate reductase activity [GO:0033560]; mRNA binding [GO:0003729]; NADP binding [GO:0050661]	4527
4528	all-trans-decaprenyl-diphosphate synthase activity [GO:0097269]; metal ion binding [GO:0046872]; prenyltransferase activity [GO:0004659]; protein heterodimerization activity [GO:0046982]; trans-hexaprenyltranstransferase activity [GO:0000010]; trans-octaprenyltranstransferase activity [GO:0050347]	4528
4529	chromatin binding [GO:0003682]; DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein-cysteine methyltransferase activity [GO:0106363]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]	4529
4530	chromatin binding [GO:0003682]; DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA binding [GO:0003677]; DNA-methyltransferase activity [GO:0009008]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]	4530
4531	SMAD binding [GO:0046332]; transcription corepressor activity [GO:0003714]	4531
4532	cadherin binding [GO:0045296]; guanyl-nucleotide exchange factor activity [GO:0005085]	4532
4533	cytokine binding [GO:0019955]; endopeptidase activity [GO:0004175]; heparin binding [GO:0008201]; peptidase activity [GO:0008233]; protease binding [GO:0002020]; serine-type endopeptidase activity [GO:0004252]; transcription corepressor activity [GO:0003714]	4533
4534	ribosome binding [GO:0043022]; RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	4534
4535	metal ion binding [GO:0046872]; RNA polymerase II complex binding [GO:0000993]	4535
4536	hydro-lyase activity [GO:0016836]; isomerase activity [GO:0016853]; L-fuconate dehydratase activity [GO:0050023]; magnesium ion binding [GO:0000287]	4536
4537	guanyl-nucleotide exchange factor activity [GO:0005085]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	4537
4538	calcium ion binding [GO:0005509]; signaling receptor binding [GO:0005102]	4538
4539	calcium ion binding [GO:0005509]; glycosaminoglycan binding [GO:0005539]	4539
4540	hormone activity [GO:0005179]; protein heterodimerization activity [GO:0046982]; thyrotropin-releasing hormone receptor binding [GO:0031531]	4540
4541	endothelin B receptor binding [GO:0031708]; hormone activity [GO:0005179]; signaling receptor binding [GO:0005102]	4541
4542	endothelin receptor activity [GO:0004962]; phosphatidylinositol phospholipase C activity [GO:0004435]	4542
4543	endothelin receptor activity [GO:0004962]; peptide hormone binding [GO:0017046]; type 1 angiotensin receptor binding [GO:0031702]	4543
4544	cytidine deaminase activity [GO:0004126]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]	4544
4545	acetylcholine binding [GO:0042166]; acetylcholine-gated cation-selective channel activity [GO:0022848]; neurotransmitter receptor activity [GO:0030594]; transmembrane signaling receptor activity [GO:0004888]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]	4545
4546	translation elongation factor activity [GO:0003746]	4546
4547	heparin binding [GO:0008201]; metalloendopeptidase activity [GO:0004222]; microfibril binding [GO:0050436]	4547
4548	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; long-chain-acyl-CoA dehydrogenase activity [GO:0004466]; medium-chain-acyl-CoA dehydrogenase activity [GO:0070991]; very-long-chain-acyl-CoA dehydrogenase activity [GO:0017099]	4548
4549	eukaryotic initiation factor 4E binding [GO:0008190]; protein phosphatase 2A binding [GO:0051721]; translation repressor activity [GO:0030371]	4549
4550	1-acyl-2-lysophosphatidylserine acylhydrolase activity [GO:0052740]; acetylesterase activity [GO:0008126]; acylglycerol lipase activity [GO:0047372]; phosphatidylserine 1-acylhydrolase activity [GO:0052739]; phospholipase A1 activity [GO:0008970]; phospholipase A2 activity [GO:0004623]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; short-chain carboxylesterase activity [GO:0034338]	4550
4551	ATP binding [GO:0005524]; ATP citrate synthase activity [GO:0003878]; metal ion binding [GO:0046872]	4551
4552	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]	4552
4553	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	4553
4554	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin binding [GO:0009374]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	4554
4555	ABC-type oligopeptide transporter activity [GO:0015421]; ABC-type peptide antigen transporter activity [GO:0015433]; ABC-type peptide transporter activity [GO:0015440]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; protein homodimerization activity [GO:0042803]; TAP1 binding [GO:0046978]; transmembrane transporter activity [GO:0022857]	4555
4556	ABC-type iron-sulfur cluster transporter activity [GO:0140481]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; heme transmembrane transporter activity [GO:0015232]; protein homodimerization activity [GO:0042803]	4556
4557	signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]	4557
4558	G protein-coupled acetylcholine receptor activity [GO:0016907]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]	4558
4559	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	4559
4560	G protein-coupled acetylcholine receptor activity [GO:0016907]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; phosphatidylinositol phospholipase C activity [GO:0004435]	4560
4561	ABC-type bile acid transporter activity [GO:0015432]; ABC-type xenobiotic transporter activity [GO:0008559]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; bile acid transmembrane transporter activity [GO:0015125]; canalicular bile acid transmembrane transporter activity [GO:0015126]	4561
4562	aminocarboxymuconate-semialdehyde decarboxylase activity [GO:0001760]; carboxy-lyase activity [GO:0016831]; hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	4562
4563	damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; enzyme binding [GO:0019899]; RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713]; tubulin binding [GO:0015631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	4563
4564	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]	4564
4565	acyl-CoA dehydrogenase activity [GO:0003995]; butyryl-CoA dehydrogenase activity [GO:0004085]; flavin adenine dinucleotide binding [GO:0050660]	4565
4566	acetylgalactosaminyltransferase activity [GO:0008376]; acetylglucosaminyltransferase activity [GO:0008375]; ganglioside galactosyltransferase activity [GO:0047915]; UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity [GO:0008499]	4566
4567	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]	4567
4568	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	4568
4569	alpha-tubulin binding [GO:0043014]; histone deacetylase binding [GO:0042826]	4569
4570	actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphotyrosine residue binding [GO:0001784]; protein kinase activity [GO:0004672]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	4570
4571	acetylgalactosaminyltransferase activity [GO:0008376]; acetylglucosaminyltransferase activity [GO:0008375]	4571
4572	3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; iron-responsive element binding [GO:0030350]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]	4572
4573	ABC-type sterol transporter activity [GO:0034041]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; floppase activity [GO:0140328]; phosphatidylcholine floppase activity [GO:0090554]; phospholipid binding [GO:0005543]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; toxin transmembrane transporter activity [GO:0019534]	4573
4574	ABC-type sterol transporter activity [GO:0034041]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]	4574
4575	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity [GO:0033791]; acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]; palmitoyl-CoA oxidase activity [GO:0016401]; protein homodimerization activity [GO:0042803]	4575
4576	ATP binding [GO:0005524]; epidermal growth factor receptor binding [GO:0005154]; GTPase inhibitor activity [GO:0005095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; ubiquitin protein ligase binding [GO:0031625]; WW domain binding [GO:0050699]	4576
4577	peroxisome targeting sequence binding [GO:0000268]; polyubiquitin modification-dependent protein binding [GO:0031593]; tumor necrosis factor receptor binding [GO:0005164]	4577
